Reporter,type_Reporter,Partner,type_Partner,Flow,Item_code,type_Item,Year,Reported_value,Final_value,Final_value_methodology,Balanced_value
AR,c,WL,g,X,SC,s,2022,2175.7394,2175.7394,R_IMF,2737.177943
AR,c,WL,g,X,SD,s,2022,3473.5196,3473.5196,R_IMF,3275.389181
AR,c,WL,g,X,SE,s,2022,0.4122,0.4122,R_IMF,34.586606
AR,c,WL,g,X,SF,s,2022,46.8206,46.8206,R_IMF,126.827914
AR,c,WL,g,X,SG,s,2022,194.828,194.828,R_IMF,305.85425
AR,c,WL,g,X,SH,s,2022,255.302,255.302,R_IMF,276.145662
AR,c,WL,g,X,SI,s,2022,2714.649,2714.649,R_IMF,1373.505795
AR,c,WL,g,X,SJ,s,2022,4873.6751,4873.6751,R_IMF,3488.447383
AR,c,WL,g,X,SK,s,2022,431.2036,431.2036,R_IMF,1119.05071
AR,c,WL,g,X,SL,s,2022,189.7509,189.7509,R_IMF,205.208785
AR,c,WL,g,X,S,s,2023,16110.5652,16110.5652,R_IMF,14653.635981
AR,c,WL,g,X,SA,s,2023,0,0,R_IMF,54.951988
AR,c,WL,g,X,SB,s,2023,70.8725,70.8725,R_IMF,115.560981
AR,c,WL,g,X,SC,s,2023,1978.7222,1978.7222,R_IMF,2412.437932
AR,c,WL,g,X,SD,s,2023,5486.3198,5486.3198,R_IMF,5039.830563
AR,c,WL,g,X,SE,s,2023,17.5659,17.5659,R_IMF,47.306634
AR,c,WL,g,X,SF,s,2023,44.4634,44.4634,R_IMF,141.872234
AR,c,WL,g,X,SG,s,2023,183.0674,183.0674,R_IMF,314.650229
AR,c,WL,g,X,SH,s,2023,250.5921,250.5921,R_IMF,256.45768
AR,c,WL,g,X,SI,s,2023,2449.0086,2449.0086,R_IMF,1344.518841
AR,c,WL,g,X,SJ,s,2023,5082.8435,5082.8435,R_IMF,3753.384226
AR,c,WL,g,X,SK,s,2023,356.4103,356.4103,R_IMF,970.615825
AR,c,WL,g,X,SL,s,2023,190.6995,190.6995,R_IMF,202.048848
AR,c,WL,g,X,S,s,2024,17122.4069,17122.4069,R_IMF,15314.446518
AR,c,WL,g,X,SA,s,2024,0,0,R_IMF,70.825591
AR,c,WL,g,X,SB,s,2024,91.4533,91.4533,R_IMF,130.035955
AR,c,WL,g,X,SC,s,2024,2197.3742,2197.3742,R_IMF,2585.397878
AR,c,WL,g,X,SD,s,2024,4959.2368,4959.2368,R_IMF,5143.449179
